,name,type,category,price,datakey,url
2044,Power Point i-learn smart start - Tiếng anh 5.rar,tieng-anh-5,tieng-anh,199000,10743,https://drive.google.com/drive/folders/1E7ElYD81qBddzbJr7zM_WaJHHE7xh40_?usp=sharing
2045,TÀI LIỆU CHUYÊN SÂU TIẾNG ANH 5.docx,tieng-anh-5,tieng-anh,150000,10517,https://drive.google.com/file/d/1YZn8vwyQqfaYW093QqmmjCgach0rtOxJ/view?usp=sharing
2046,BỘ 35 ĐỀ LUYỆN THI ANH VĂN VÀO LỚP 6 CHUYÊN.zip,tieng-anh-5,tieng-anh,199000,10515,https://drive.google.com/drive/folders/1IqW-FTpHVWF6OqMtAHdQsGTPUJmLDsRQ?usp=sharing
2047,Bài tập bổ trợ cơ bản và nâng cao Tiếng Anh 4 - Global Success - HỌC KÌ 2 (Bản word có nghe).zip,tieng-anh-4,tieng-anh,199000,15671,https://drive.google.com/drive/u/0/folders/1bi_MLFSIkR68v-sywAF7aUJhd1h6GMIk
2048,"BÀI GIẢNG POWER POINT CẢ NĂM - TIẾNG ANH 4 - GLOBAL SUCCESS (Theo lesson, tiết học, chuẩn đẹp)",tieng-anh-4,tieng-anh,499000,12607,https://drive.google.com/drive/folders/1xNhwnGeQJ6JY20M2WQyS5EKWgZS4nl9n
2049,600 bài tập bổ trợ Tiếng Anh 4 - GLOBAL SUCCESS - Bản word Có Đáp Án.zip,tieng-anh-4,tieng-anh,299000,11954,https://drive.google.com/drive/u/0/folders/11K3SBaLk5dft1RqE53TodTJklPnxYeSn
2050,KHBD GIÁO ÁN WORD CHÍNH KHÓA - TIẾNG ANH 4 GLOBAL SUCCESS - CẢ NĂM (CV2345 - 2 Cột).zip,tieng-anh-4,tieng-anh,299000,21733,https://drive.google.com/drive/u/0/folders/1yOeWfuLxff7ZKeln-vz56VnUTuR98ywa
2051,Bài tập bổ trợ Tiếng Anh 4 GLOBAL SUCCESS - HỌC KÌ 2 (Word+No Key+Audio Tapescript).zip,tieng-anh-4,tieng-anh,150000,15870,https://drive.google.com/drive/u/0/folders/1c37JGq4EQmf5trjOGWVota1kifzRDgoB
2052,Bài tập bổ trợ Tiếng Anh 4 - Global Success - Học Kì 1 (Bản word có nghe).rar,tieng-anh-4,tieng-anh,199000,10829,https://drive.google.com/drive/u/3/folders/1RMrfTsWdVOYHTKNYWTDvSeENo27bA67D
2053,File nghe đầy đủ sách Tiếng Anh 4 Global Success cả năm.rar,tieng-anh-4,tieng-anh,99000,10760,https://drive.google.com/drive/u/0/folders/1F9ffGNWGk9q7WKAyk38YzYRbrktvxOZR
2054,Power Point i-learn smart start - Tiếng anh 4.rar,tieng-anh-4,tieng-anh,199000,10741,https://drive.google.com/drive/folders/1qjlbZe11XTKiBXiHvU19xqCAXiZy1N_O?usp=sharing
2055,Giáo án GLOBAL SUCCESS lớp 4 - FULL NĂM - 2 Cột ( theo cv 2345) - Bản word.zip,tieng-anh-4,tieng-anh,199000,10733,https://drive.google.com/file/d/1D-pYF7rVCAGgr_jivXFuorbuYF9nKJod/view?usp=sharing
2056,KẾ HOẠCH DẠY HỌC PPCT - TIẾNG ANH 4 GLOBAL SUCCESS.docx,tieng-anh-4,tieng-anh,0,10732,https://drive.google.com/file/d/1x8q3OcgAzZbLO673xMxRcc1TWIwroSHI/view?usp=sharing
2057,"BÀI GIẢNG POWER POINT CẢ NĂM - TIẾNG ANH 3 - GLOBAL SUCCESS (Theo lesson, tiết học, chuẩn đẹp)",tieng-anh-3,tieng-anh,399000,12605,https://drive.google.com/drive/u/0/folders/1ouCSjQfU2_h5_k7qFVDs6pjc9Xl179G1
2058,"Bài giảng điện tử PowerPoint PPT Global Success Tiếng Anh 3 Vip - CẢ NĂM (8,67Gb).rar",tieng-anh-3,tieng-anh,399000,10130,https://drive.google.com/drive/folders/1ylDCC0m5b-TU2p4L0Z68g_Uz4HPisxgk?usp=sharing
2059,Tài liệu giảng dạy Chuyên sâu Tiếng Anh 3 Global Success (209 Trang word).docx,tieng-anh-3,tieng-anh,150000,10124,https://drive.google.com/file/d/1yFhiJIhS5yxuJaSQmLMrh3Lf2l3J0KZe/view?usp=drive_link
2060,KHBD GIÁO ÁN WORD CHÍNH KHÓA - TIẾNG ANH 3 GLOBAL SUCCESS - CẢ NĂM (CV2345 - 2 Cột).zip,tieng-anh-3,tieng-anh,299000,21732,https://drive.google.com/drive/u/0/folders/1PxMQDNyUIn18B2iR44u-jg2L5k4PgnOQ
2061,Bài tập bổ trợ Tiếng Anh 3 GLOBAL SUCCESS - Học Kì 2 (Word+No Key+Audio Tapescript).zip,tieng-anh-3,tieng-anh,150000,15871,https://drive.google.com/drive/u/0/folders/1YOj-Y0d4pKELYM9zpY_RxMlc2XrsHhhc
2062,Power Point i-learn smart start - Tiếng anh 3.rar,tieng-anh-3,tieng-anh,199000,10738,https://drive.google.com/drive/folders/1b_TuWAvgtgBtspS-i0-hm_9o5v_0Wbil?usp=sharing
2063,BÀI TẬP BỔ TRỢ I-LEARN SMART START Lớp 3 (Có file nghe).rar,tieng-anh-3,tieng-anh,199000,10737,https://drive.google.com/drive/folders/1BGA0cb42WXKji7KwqSKaVa_4f_5_fEsP?usp=sharing
